30 4 4 3.819608e+01  
31 3 1 4.606122e+01  
31 4 1 NaN  
31 3 2 5.764583e+01  
31 4 2 NaN  
31 3 3 6.073077e+01  
31 4 3 5.096117e+01  
31 3 4 3.274510e+01  
31 4 4 4.428866e+01  
32 3 1 5.344681e+01  
32 4 1 NaN  
32 3 2 6.785106e+01  
32 4 2 NaN  
32 3 3 5.607273e+01  
32 4 3 5.176238e+01  
32 3 4 4.582353e+01  
32 4 4 4.862626e+01  
33 3 1 3.405556e+01  
33 4 1 NaN  
33 3 2 4.706061e+01  
33 4 2 NaN  
33 3 3 6.636667e+01  
33 4 3 4.305435e+01  
33 3 4 3.279245e+01  
33 4 4 4.127778e+01  
34 3 1 5.702222e+01  
34 4 1 NaN  
34 3 2 4.591228e+01  
34 4 2 NaN  
34 3 3 3.392857e+01  
34 4 3 5.043564e+01  
34 3 4 6.328571e+01  
34 4 4 4.448485e+01  
35 3 1 4.676667e+01  
35 4 1 NaN  
35 3 2 5.358824e+01  
35 4 2 NaN  
35 3 3 6.127500e+01  
35 4 3 6.291228e+01  
35 3 4 6.091837e+01  
35 4 4 5.403488e+01  
36 3 1 4.211864e+01  
36 4 1 NaN  
36 3 2 5.404255e+01  
36 4 2 NaN  
36 3 3 4.631250e+01  
36 4 3 5.462963e+01  
36 3 4 5.286957e+01  
36 4 4 5.213043e+01  
37 3 1 6.741176e+01  
37 4 1 NaN  
37 3 2 5.342000e+01  
37 4 2 NaN  
37 3 3 5.229167e+01  
37 4 3 4.528713e+01  
37 3 4 4.823529e+01  
37 4 4 3.978788e+01  
38 3 1 5.422951e+01  
38 4 1 NaN  
38 3 2 5.442857e+01  
38 4 2 NaN  
38 3 3 6.011905e+01  
38 4 3 4.813542e+01  
38 3 4 4.347917e+01  
38 4 4 3.805769e+01  
39 3 1 5.665000e+01  
39 4 1 NaN  
39 3 2 5.087234e+01  
39 4 2 NaN  
39 3 3 6.556818e+01  
39 4 3 5.391489e+01  
39 3 4 3.736735e+01  
39 4 4 3.956604e+01  
40 3 1 5.657778e+01  
40 4 1 NaN  
40 3 2 3.935417e+01  
40 4 2 NaN  
40 3 3 5.102041e+01  
40 4 3 3.965714e+01  
40 3 4 4.272414e+01  
40 4 4 4.554737e+01  
41 3 1 4.916667e+01  
41 4 1 NaN  
41 3 2 5.318000e+01  
41 4 2 NaN  
41 3 3 4.370370e+01  
